"";"GTY_Code";"Flag_CTY_Code";"TFN";"GAR_Code";"Calendar_Year";"AFE_ID";"Month";"Target_TXN_Code";"FAC_Code";"VSZ_Code";"Fishing_Hours";"Fishing_Days";"Vessel_Count";"Haul_Count";"Hook_Count";"Pot_Count";"CC_Season";"Split_Year";"Location";"GTY_rev"
"3201";"OTB";"FRA";2;"5851";1997;2322;3;"ANI";"C";9;NA;NA;NA;NA;NA;NA;1997;1997;"B";"OTB"
"3202";"OTB";"FRA";2;"5851";1997;2326;5;"ANI";"C";9;NA;NA;NA;NA;NA;NA;1997;1997;"B";"OTB"
"3203";"OTB";"FRA";2;"5851";1997;2324;4;"ANI";"C";9;NA;NA;NA;NA;NA;NA;1997;1997;"B";"OTB"
"3245";"OTB";"FRA";3;"5851";1996;2332;12;"TOT";"C";9;NA;NA;NA;NA;NA;NA;1997;1997;"B";"OTB"
"3249";"OTB";"FRA";3;"5851";1996;2329;9;"TOT";"C";9;NA;NA;NA;NA;NA;NA;1996;1997;"B";"OTB"
"3250";"OTB";"FRA";3;"5851";1996;2331;11;"TOT";"C";9;NA;NA;NA;NA;NA;NA;1996;1997;"B";"OTB"
"3251";"OTB";"FRA";3;"5851";1996;2330;10;"TOT";"C";9;NA;NA;NA;NA;NA;NA;1996;1997;"B";"OTB"
"3252";"OTB";"FRA";3;"5851";1997;2328;6;"TOT";"C";9;NA;NA;NA;NA;NA;NA;1997;1997;"B";"OTB"
"3255";"OTB";"FRA";3;"5851";1997;2327;5;"TOT";"C";9;NA;NA;NA;NA;NA;NA;1997;1997;"B";"OTB"
"3258";"OTB";"FRA";3;"5851";1997;2321;1;"TOT";"C";9;NA;NA;NA;NA;NA;NA;1997;1997;"B";"OTB"
"3259";"OTB";"FRA";3;"5851";1997;2323;3;"TOT";"C";9;NA;NA;NA;NA;NA;NA;1997;1997;"B";"OTB"
"3260";"OTB";"FRA";3;"5851";1997;2325;4;"TOT";"C";9;NA;NA;NA;NA;NA;NA;1997;1997;"B";"OTB"
"3321";"OTB";"GBR";1;"483";1994;1698;1;"MZZ";"S";NA;NA;NA;NA;NA;NA;NA;1994;1994;"B";"OTB"
"3423";"OTB";"RUS";2;"483";1999;2718;3;"ANI";"C";NA;NA;NA;1;NA;NA;NA;1999;1999;"B";"OTB"
"3424";"OTB";"RUS";2;"483";1999;2717;2;"ANI";"C";NA;NA;NA;1;NA;NA;NA;1999;1999;"B";"OTB"
"3444";"OTB";"SUN";1;"483";1970;626;NA;"MZZ";"C";NA;NA;NA;NA;NA;NA;NA;1970;1970;"B";"OTB"
"3734";"OTB";"SUN";2;"5851";1969;2037;12;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1970;1970;"B";"OTB"
"3735";"OTB";"SUN";2;"5851";1970;2038;12;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1971;1971;"B";"OTB"
"3736";"OTB";"SUN";2;"5851";1971;2049;12;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1972;1972;"B";"OTB"
"3737";"OTB";"SUN";2;"5851";1971;2040;3;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1971;1971;"B";"OTB"
"3738";"OTB";"SUN";2;"5851";1971;2051;9;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1971;1972;"B";"OTB"
"3739";"OTB";"SUN";2;"5851";1971;2042;5;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1971;1971;"B";"OTB"
"3740";"OTB";"SUN";2;"5851";1971;2041;4;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1971;1971;"B";"OTB"
"3741";"OTB";"SUN";2;"5851";1971;2043;6;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1971;1971;"B";"OTB"
"3742";"OTB";"SUN";2;"5851";1971;2050;10;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1971;1972;"B";"OTB"
"3743";"OTB";"SUN";2;"5851";1971;2054;7;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1971;1972;"B";"OTB"
"3744";"OTB";"SUN";2;"5851";1971;2039;2;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1971;1971;"B";"OTB"
"3745";"OTB";"SUN";2;"5851";1971;2053;8;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1971;1972;"B";"OTB"
